Equipe,Pontos,Vitorias,Derrotas,Gols_Marcados,Gols_Sofridos,Saldo_de_Gols,Estado
Botafogo,72,22,5,55,27,28,RJ
Palmeiras,67,19,4,58,32,26,SP
Grêmio,62,18,10,61,48,13,RS
Fluminense,61,18,9,55,41,14,RJ
Atlético-MG,59,16,7,52,37,15,MG
Flamengo,58,16,8,56,42,14,RJ
Fortaleza,53,15,11,46,41,5,CE
Athletico-PR,50,14,13,44,43,1,PR
São Paulo,47,12,12,43,38,5,SP
Red Bull Bragantino,45,12,10,42,40,2,SP
Cruzeiro,44,11,11,40,39,1,MG
Santos,41,10,13,37,43,-6,SP
Bahia,40,10,15,39,47,-8,BA
Corinthians,39,9,14,36,42,-6,SP
Goiás,37,9,16,32,44,-12,GO
Cuiabá,36,9,17,29,43,-14,MT
Vasco,34,9,17,33,48,-15,RJ
América-MG,32,8,19,38,59,-21,MG
Coritiba,31,8,18,34,57,-23,PR
Avaí,29,7,19,28,52,-24,SC
